Country,Total,Golds,Silvers,Bronzes
USA,2297,930,728,639
Soviet Union,1010,395,319,296
Germany (includes W but not E.Germany),851,247,284,320
Great Britain,714,207,255,252
France,638,192,212,234
Italy,521,190,157,174
Sweden,475,142,160,173
Hungary,458,159,140,159
Australia,432,131,137,164
East Germany,409,153,129,127
China,385,163,117,105
Japan,360,123,112,125
Russia,317,108,97,112
Finland,299,101,83,115
Romania,292,86,89,117
Poland,261,62,80,119
Canada,260,58,94,108
Netherlands,246,70,80,96
South Korea,215,68,74,73
Bulgaria,212,51,84,77
Cuba,194,67,64,63
Switzerland,181,45,71,65
Denmark,171,41,63,67
Norway,144,54,48,42
Czechoslovakia,143,49,49,45
Belgium,139,37,51,51
Spain,113,34,49,30
Unified Team (CIS),112,45,38,29
Greece,108,30,42,36
Ukraine,96,28,22,46
Brazil,91,20,25,46
Yugoslavia,90,28,31,31
Austria,86,18,33,35
New Zealand,85,36,16,33
Turkey,82,37,23,22
Kenya,75,23,28,24
South Africa,70,20,24,26
Argentina,66,17,23,26
Belarus,64,10,19,35
Jamaica,55,13,25,17
Mexico,55,12,18,25
Iran,48,11,15,22
North Korea,41,10,12,19
Kazakhstan,39,9,16,14
Ethiopia,38,18,6,14
Czech Republic,33,10,12,11
Estonia,31,9,8,14
Indonesia,25,6,9,10
Egypt,24,7,7,10
Ireland,23,8,7,8
Nigeria,23,2,9,12
Portugal,22,4,7,11
Morocco,21,6,5,10
Thailand,21,7,4,10
India,20,9,4,7
Slovakia,20,7,8,5
Mongolia,19,2,7,10
Taiwan/Chinese Taipei/Republic of China,19,2,6,11
Georgia,18,5,2,11
Croatia,17,3,6,8
Latvia,17,2,11,4
Uzbekistan,17,4,5,8
Azerbaijan,16,4,3,9
Lithuania,16,4,4,8
Slovenia,15,3,5,7
Algeria,14,4,2,8
Trinidad & Tobago,14,1,5,8
Chile,13,2,7,4
Australasia,12,3,4,5
Colombia,11,1,3,7
Venzuela,11,1,2,8
Bahamas,10,4,2,4
Pakistan,10,3,3,4
Uruguay,10,2,2,6
Armenia,9,1,1,7
Philippines,9,0,2,7
Russian Empire,8,1,4,3
Zimbabwe,8,3,4,1
Israel,7,1,1,5
Tunisia,7,2,2,3
Puerto Rico,6,0,1,5
Uganda,6,1,3,2
Cameroon,5,3,1,1
Moldova,5,0,2,3
Bohemia,4,0,1,3
Costa Rica,4,1,1,2
Dominican Republic,4,2,1,1
Ghana,4,0,1,3
Iceland,4,0,2,2
Lebanon,4,0,2,2
Malaysia,4,0,2,2
Namibia,4,0,4,0
Peru,4,1,3,0
Kyrgyzstan,3,0,1,2
Panama,3,1,0,2
Serbia,3,0,1,2
Syria,3,1,1,1
British West Indies,2,0,0,2
Ecuador,2,1,1,0
Haiti,2,0,1,1
Hong Kong,2,1,1,0
Luxembourg,2,1,1,0
Mozambique,2,1,0,1
Qatar,2,0,0,2
Saudi Arabia,2,0,1,1
Serbia and Montenegro,2,0,2,0
Singapore,2,0,2,0
Sri Lanka,2,0,2,0
Suriname,2,1,0,1
Tajikistan,2,0,1,1
Tanzania,2,0,2,0
Vietnam,2,0,2,0
Zambia,2,0,1,1
Afghanistan,1,0,0,1
Barbados,1,0,0,1
Bermuda,1,0,0,1
Burundi,1,1,0,0
Cote d'Ivoire,1,0,1,0
Djibouti,1,0,0,1
Eritrea,1,0,0,1
Guyana,1,0,0,1
Iraq,1,0,0,1
Kuwait,1,0,0,1
Macedonia,1,0,0,1
Mauritius,1,0,0,1
Netherlands Antilles,1,0,1,0
Niger,1,0,0,1
Paraguay,1,0,1,0
Senegal,1,0,1,0
Sudan,1,0,1,0
Togo,1,0,0,1
Tonga,1,0,1,0
United Arab Emirates,1,1,0,0
Virgin Islands,1,0,1,0
